n =  9, m =  3, t1f =  3.00, t1 =  3 <=> t2 =  3, t2f =  3.67
n =  9, m =  4, t1f =  2.25, t1 =  3 <=> t2 =  3, t2f =  3.00
n =  9, m =  5, t1f =  1.80, t1 =  2 <=> t2 =  2, t2f =  2.60
n =  9, m =  6, t1f =  1.50, t1 =  2 <=> t2 =  2, t2f =  2.33
n =  9, m =  7, t1f =  1.29, t1 =  2 <=> t2 =  2, t2f =  2.14
n =  9, m =  8, t1f =  1.12, t1 =  2 <=> t2 =  2, t2f =  2.00
n =  9, m =  9, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.89
n =  9, m = 10, t1f =  0.90, t1 =  1 <=> t2 =  1, t2f =  1.80
n =  9, m = 11, t1f =  0.82, t1 =  1 <=> t2 =  1, t2f =  1.73
n =  9, m = 12, t1f =  0.75, t1 =  1 <=> t2 =  1, t2f =  1.67
n =  9, m = 13, t1f =  0.69, t1 =  1 <=> t2 =  1, t2f =  1.62
n =  9, m = 14, t1f =  0.64, t1 =  1 <=> t2 =  1, t2f =  1.57
n =  9, m = 15, t1f =  0.60, t1 =  1 <=> t2 =  1, t2f =  1.53
n =  9, m = 16, t1f =  0.56, t1 =  1 <=> t2 =  1, t2f =  1.50
n =  9, m = 17, t1f =  0.53, t1 =  1 <=> t2 =  1, t2f =  1.47
n =  9, m = 18, t1f =  0.50, t1 =  1 <=> t2 =  1, t2f =  1.44
n =  9, m = 19, t1f =  0.47, t1 =  1 <=> t2 =  1, t2f =  1.42
n =  9, m = 20, t1f =  0.45, t1 =  1 <=> t2 =  1, t2f =  1.40
n = 10, m =  1, t1f = 10.00, t1 = 10 <=> t2 = 10, t2f = 10.00
n = 10, m =  2, t1f =  5.00, t1 =  5 <=> t2 =  5, t2f =  5.50
n = 10, m =  3, t1f =  3.33, t1 =  4 <=> t2 =  4, t2f =  4.00
n = 10, m =  4, t1f =  2.50, t1 =  3 <=> t2 =  3, t2f =  3.25
n = 10, m =  5, t1f =  2.00, t1 =  2 <=> t2 =  2, t2f =  2.80
n = 10, m =  6, t1f =  1.67, t1 =  2 <=> t2 =  2, t2f =  2.50
n = 10, m =  7, t1f =  1.43, t1 =  2 <=> t2 =  2, t2f =  2.29
n = 10, m =  8, t1f =  1.25, t1 =  2 <=> t2 =  2, t2f =  2.12
n = 10, m =  9, t1f =  1.11, t1 =  2 <=> t2 =  2, t2f =  2.00
n = 10, m = 10, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.90
n = 10, m = 11, t1f =  0.91, t1 =  1 <=> t2 =  1, t2f =  1.82
n = 10, m = 12, t1f =  0.83, t1 =  1 <=> t2 =  1, t2f =  1.75
n = 10, m = 13, t1f =  0.77, t1 =  1 <=> t2 =  1, t2f =  1.69
n = 10, m = 14, t1f =  0.71, t1 =  1 <=> t2 =  1, t2f =  1.64
n = 10, m = 15, t1f =  0.67, t1 =  1 <=> t2 =  1, t2f =  1.60
n = 10, m = 16, t1f =  0.62, t1 =  1 <=> t2 =  1, t2f =  1.56
n = 10, m = 17, t1f =  0.59, t1 =  1 <=> t2 =  1, t2f =  1.53
n = 10, m = 18, t1f =  0.56, t1 =  1 <=> t2 =  1, t2f =  1.50
n = 10, m = 19, t1f =  0.53, t1 =  1 <=> t2 =  1, t2f =  1.47
n = 10, m = 20, t1f =  0.50, t1 =  1 <=> t2 =  1, t2f =  1.45
n = 11, m =  1, t1f = 11.00, t1 = 11 <=> t2 = 11, t2f = 11.00
n = 11, m =  2, t1f =  5.50, t1 =  6 <=> t2 =  6, t2f =  6.00
n = 11, m =  3, t1f =  3.67, t1 =  4 <=> t2 =  4, t2f =  4.33
n = 11, m =  4, t1f =  2.75, t1 =  3 <=> t2 =  3, t2f =  3.50
n = 11, m =  5, t1f =  2.20, t1 =  3 <=> t2 =  3, t2f =  3.00
n = 11, m =  6, t1f =  1.83, t1 =  2 <=> t2 =  2, t2f =  2.67
n = 11, m =  7, t1f =  1.57, t1 =  2 <=> t2 =  2, t2f =  2.43
n = 11, m =  8, t1f =  1.38, t1 =  2 <=> t2 =  2, t2f =  2.25
n = 11, m =  9, t1f =  1.22, t1 =  2 <=> t2 =  2, t2f =  2.11
n = 11, m = 10, t1f =  1.10, t1 =  2 <=> t2 =  2, t2f =  2.00
n = 11, m = 11, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.91
n = 11, m = 12, t1f =  0.92, t1 =  1 <=> t2 =  1, t2f =  1.83
n = 11, m = 13, t1f =  0.85, t1 =  1 <=> t2 =  1, t2f =  1.77
n = 11, m = 14, t1f =  0.79, t1 =  1 <=> t2 =  1, t2f =  1.71
n = 11, m = 15, t1f =  0.73, t1 =  1 <=> t2 =  1, t2f =  1.67
n = 11, m = 16, t1f =  0.69, t1 =  1 <=> t2 =  1, t2f =  1.62
n = 11, m = 17, t1f =  0.65, t1 =  1 <=> t2 =  1, t2f =  1.59
n = 11, m = 18, t1f =  0.61, t1 =  1 <=> t2 =  1, t2f =  1.56
n = 11, m = 19, t1f =  0.58, t1 =  1 <=> t2 =  1, t2f =  1.53
n = 11, m = 20, t1f =  0.55, t1 =  1 <=> t2 =  1, t2f =  1.50
n = 12, m =  1, t1f = 12.00, t1 = 12 <=> t2 = 12, t2f = 12.00
n = 12, m =  2, t1f =  6.00, t1 =  6 <=> t2 =  6, t2f =  6.50
n = 12, m =  3, t1f =  4.00, t1 =  4 <=> t2 =  4, t2f =  4.67
n = 12, m =  4, t1f =  3.00, t1 =  3 <=> t2 =  3, t2f =  3.75
n = 12, m =  5, t1f =  2.40, t1 =  3 <=> t2 =  3, t2f =  3.20
n = 12, m =  6, t1f =  2.00, t1 =  2 <=> t2 =  2, t2f =  2.83
n = 12, m =  7, t1f =  1.71, t1 =  2 <=> t2 =  2, t2f =  2.57
n = 12, m =  8, t1f =  1.50, t1 =  2 <=> t2 =  2, t2f =  2.38
n = 12, m =  9, t1f =  1.33, t1 =  2 <=> t2 =  2, t2f =  2.22
n = 12, m = 10, t1f =  1.20, t1 =  2 <=> t2 =  2, t2f =  2.10
n = 12, m = 11, t1f =  1.09, t1 =  2 <=> t2 =  2, t2f =  2.00
n = 12, m = 12, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.92
n = 12, m = 13, t1f =  0.92, t1 =  1 <=> t2 =  1, t2f =  1.85
n = 12, m = 14, t1f =  0.86, t1 =  1 <=> t2 =  1, t2f =  1.79
n = 12, m = 15, t1f =  0.80, t1 =  1 <=> t2 =  1, t2f =  1.73
n = 12, m = 16, t1f =  0.75, t1 =  1 <=> t2 =  1, t2f =  1.69
n = 12, m = 17, t1f =  0.71, t1 =  1 <=> t2 =  1, t2f =  1.65
n = 12, m = 18, t1f =  0.67, t1 =  1 <=> t2 =  1, t2f =  1.61
n = 12, m = 19, t1f =  0.63, t1 =  1 <=> t2 =  1, t2f =  1.58
n = 12, m = 20, t1f =  0.60, t1 =  1 <=> t2 =  1, t2f =  1.55
n = 13, m =  1, t1f = 13.00, t1 = 13 <=> t2 = 13, t2f = 13.00
n = 13, m =  2, t1f =  6.50, t1 =  7 <=> t2 =  7, t2f =  7.00
n = 13, m =  3, t1f =  4.33, t1 =  5 <=> t2 =  5, t2f =  5.00
n = 13, m =  4, t1f =  3.25, t1 =  4 <=> t2 =  4, t2f =  4.00
n = 13, m =  5, t1f =  2.60, t1 =  3 <=> t2 =  3, t2f =  3.40
n = 13, m =  6, t1f =  2.17, t1 =  3 <=> t2 =  3, t2f =  3.00
n = 13, m =  7, t1f =  1.86, t1 =  2 <=> t2 =  2, t2f =  2.71
n = 13, m =  8, t1f =  1.62, t1 =  2 <=> t2 =  2, t2f =  2.50
n = 13, m =  9, t1f =  1.44, t1 =  2 <=> t2 =  2, t2f =  2.33
n = 13, m = 10, t1f =  1.30, t1 =  2 <=> t2 =  2, t2f =  2.20
n = 13, m = 11, t1f =  1.18, t1 =  2 <=> t2 =  2, t2f =  2.09
n = 13, m = 12, t1f =  1.08, t1 =  2 <=> t2 =  2, t2f =  2.00
n = 13, m = 13, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.92
n = 13, m = 14, t1f =  0.93, t1 =  1 <=> t2 =  1, t2f =  1.86
n = 13, m = 15, t1f =  0.87, t1 =  1 <=> t2 =  1, t2f =  1.80
n = 13, m = 16, t1f =  0.81, t1 =  1 <=> t2 =  1, t2f =  1.75
n = 13, m = 17, t1f =  0.76, t1 =  1 <=> t2 =  1, t2f =  1.71
n = 13, m = 18, t1f =  0.72, t1 =  1 <=> t2 =  1, t2f =  1.67
n = 13, m = 19, t1f =  0.68, t1 =  1 <=> t2 =  1, t2f =  1.63
n = 13, m = 20, t1f =  0.65, t1 =  1 <=> t2 =  1, t2f =  1.60
n = 14, m =  1, t1f = 14.00, t1 = 14 <=> t2 = 14, t2f = 14.00
n = 14, m =  2, t1f =  7.00, t1 =  7 <=> t2 =  7, t2f =  7.50
n = 14, m =  3, t1f =  4.67, t1 =  5 <=> t2 =  5, t2f =  5.33
n = 14, m =  4, t1f =  3.50, t1 =  4 <=> t2 =  4, t2f =  4.25
n = 14, m =  5, t1f =  2.80, t1 =  3 <=> t2 =  3, t2f =  3.60
n = 14, m =  6, t1f =  2.33, t1 =  3 <=> t2 =  3, t2f =  3.17
n = 14, m =  7, t1f =  2.00, t1 =  2 <=> t2 =  2, t2f =  2.86
n = 14, m =  8, t1f =  1.75, t1 =  2 <=> t2 =  2, t2f =  2.62
n = 14, m =  9, t1f =  1.56, t1 =  2 <=> t2 =  2, t2f =  2.44
n = 14, m = 10, t1f =  1.40, t1 =  2 <=> t2 =  2, t2f =  2.30
n = 14, m = 11, t1f =  1.27, t1 =  2 <=> t2 =  2, t2f =  2.18
n = 14, m = 12, t1f =  1.17, t1 =  2 <=> t2 =  2, t2f =  2.08
